n;f;alpha;tle;avg_latency
10;4;0.2;4500;35.00
10;4;0.2;4750;35.20
10;4;0.2;5000;53.00
10;4;0.2;5250;31.80
10;4;0.2;5500;33.40
10;4;0.2;5750;30.00
10;4;0.2;6000;33.60
10;4;0.3;5;17.00
10;4;0.3;10;18.20
10;4;0.3;25;25.60
10;4;0.3;50;34.40
10;4;0.3;100;47.20
10;4;0.3;250;39.40
10;4;0.3;500;26.00
10;4;0.3;750;41.40
10;4;0.3;1000;50.20
10;4;0.3;1250;36.60
10;4;0.3;1500;39.00
10;4;0.3;1750;30.20
10;4;0.3;2000;37.60
10;4;0.3;2250;31.60
10;4;0.3;2500;24.00
10;4;0.3;2750;40.00
10;4;0.3;3000;21.40
10;4;0.3;3250;28.00
10;4;0.3;3500;34.20
10;4;0.3;3750;33.40
10;4;0.3;4000;41.40
10;4;0.3;4250;39.80
10;4;0.3;4500;29.40
10;4;0.3;4750;28.60
10;4;0.3;5000;31.60
10;4;0.3;5250;44.60
10;4;0.3;5500;26.00
10;4;0.3;5750;35.80
10;4;0.3;6000;33.40
10;4;0.4;5;14.80
10;4;0.4;10;17.80
10;4;0.4;25;31.20
10;4;0.4;50;30.40
10;4;0.4;100;37.40
10;4;0.4;250;34.80
10;4;0.4;500;27.40
10;4;0.4;750;29.40
10;4;0.4;1000;37.40
10;4;0.4;1250;36.80
10;4;0.4;1500;29.80
10;4;0.4;1750;38.20
10;4;0.4;2000;50.00
10;4;0.4;2250;33.20
10;4;0.4;2500;40.60
10;4;0.4;2750;29.80
10;4;0.4;3000;39.00
10;4;0.4;3250;34.20
10;4;0.4;3500;38.60
10;4;0.4;3750;28.80
10;4;0.4;4000;34.40
10;4;0.4;4250;21.20
10;4;0.4;4500;30.40
10;4;0.4;4750;39.80
10;4;0.4;5000;29.40
10;4;0.4;5250;32.80
10;4;0.4;5500;34.40
10;4;0.4;5750;42.40
10;4;0.4;6000;38.40
10;4;0.5;5;14.80
10;4;0.5;10;19.20
10;4;0.5;25;27.20
10;4;0.5;50;39.20
10;4;0.5;100;28.60
10;4;0.5;250;37.40
10;4;0.5;500;37.20
10;4;0.5;750;29.60
10;4;0.5;1000;35.00
10;4;0.5;1250;39.40
10;4;0.5;1500;34.80
10;4;0.5;1750;40.40
10;4;0.5;2000;41.80
10;4;0.5;2250;31.20
10;4;0.5;2500;37.60
10;4;0.5;2750;26.80
10;4;0.5;3000;37.60
10;4;0.5;3250;43.20
10;4;0.5;3500;21.80
10;4;0.5;3750;35.00
10;4;0.5;4000;29.20
10;4;0.5;4250;39.00
10;4;0.5;4500;30.40
10;4;0.5;4750;31.60
10;4;0.5;5000;26.40
10;4;0.5;5250;20.40
10;4;0.5;5500;37.20
10;4;0.5;5750;32.20
10;4;0.5;6000;21.60
10;4;0.6;5;13.40
10;4;0.6;10;18.60
10;4;0.6;25;24.40
10;4;0.6;50;45.20
10;4;0.6;100;35.00
10;4;0.6;250;40.60
10;4;0.6;500;30.60
10;4;0.6;750;28.00
10;4;0.6;1000;41.60
10;4;0.6;1250;28.40
10;4;0.6;1500;53.00
10;4;0.6;1750;24.60
10;4;0.6;2000;36.80
10;4;0.6;2250;31.20
10;4;0.6;2500;30.60
10;4;0.6;2750;27.80
10;4;0.6;3000;46.80
10;4;0.6;3250;35.60
10;4;0.6;3500;30.00
10;4;0.6;3750;36.00
10;4;0.6;4000;18.00
10;4;0.6;4250;27.80
10;4;0.6;4500;36.20
10;4;0.6;4750;38.80
10;4;0.6;5000;51.60
10;4;0.6;5250;38.20
10;4;0.6;5500;48.80
10;4;0.6;5750;37.60
10;4;0.6;6000;33.80
10;4;0.7;5;14.60
10;4;0.7;10;18.00
10;4;0.7;25;28.80
10;4;0.7;50;36.00
10;4;0.7;100;49.00
10;4;0.7;250;44.20
10;4;0.7;500;37.80
10;4;0.7;750;48.00
10;4;0.7;1000;51.60
10;4;0.7;1250;44.60
10;4;0.7;1500;43.40
10;4;0.7;1750;31.40
10;4;0.7;2000;48.20
10;4;0.7;2250;28.60
10;4;0.7;2500;33.40
10;4;0.7;2750;27.00
10;4;0.7;3000;49.00
10;4;0.7;3250;41.40
10;4;0.7;3500;57.40
10;4;0.7;3750;64.60
10;4;0.7;4000;32.40
10;4;0.7;4250;47.40
10;4;0.7;4500;39.00
10;4;0.7;4750;39.80
10;4;0.7;5000;27.40
10;4;0.7;5250;40.00
10;4;0.7;5500;25.60
10;4;0.7;5750;33.00
10;4;0.7;6000;43.80
10;4;0.8;5;15.60
10;4;0.8;10;22.00
10;4;0.8;25;33.80
10;4;0.8;50;45.80
